case,n_mesh,n_shared_faces,worst_class,max_ratio,class_counts,msd,n_overlap_pairs,notes
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Propane_20kW_GEOM_Prescribed_1cm.fds,96,224,uniform,1,uniform=224,0.0005,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Propane_20kW_GEOM_Prescribed_2cm.fds,8,12,uniform,1,uniform=12,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Propane_20kW_GEOM_Prescribed_4cm.fds,1,0,single_mesh,,,,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Propane_20kW_GEOM_Prescribed_p5cm.fds,96,224,uniform,1,uniform=224,0.00025,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Propane_34kW_GEOM_Prescribed_1cm.fds,96,224,uniform,1,uniform=224,0.0005,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Propane_34kW_GEOM_Prescribed_2cm.fds,8,12,uniform,1,uniform=12,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Propane_34kW_GEOM_Prescribed_4cm.fds,1,0,single_mesh,,,,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Propane_34kW_GEOM_Prescribed_p5cm.fds,96,224,uniform,1,uniform=224,0.00025,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Propane_37cm_DEVC.fds,0,0,no_mesh,,,,,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Acetone_Prescribed_0p5cm.fds,40,86,supported_2_4,2,uniform=70 supported_2_4=16,0.00025,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Acetone_Prescribed_1cm.fds,20,40,supported_2_4,2,uniform=32 supported_2_4=8,0.0005,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Acetone_Prescribed_2cm.fds,20,40,supported_2_4,2,uniform=32 supported_2_4=8,0.001,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Ethanol_Prescribed_0p5cm.fds,40,86,supported_2_4,2,uniform=70 supported_2_4=16,0.00025,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Ethanol_Prescribed_1cm.fds,20,40,supported_2_4,2,uniform=32 supported_2_4=8,0.0005,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Ethanol_Prescribed_2cm.fds,20,40,supported_2_4,2,uniform=32 supported_2_4=8,0.001,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Heptane_Prescribed_0p5cm.fds,32,60,uniform,1,uniform=60,0.00025,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Heptane_Prescribed_1cm.fds,16,28,uniform,1,uniform=28,0.0005,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Heptane_Prescribed_2cm.fds,16,28,uniform,1,uniform=28,0.001,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Methane_Prescribed_0p5cm.fds,40,86,supported_2_4,2,uniform=70 supported_2_4=16,0.00025,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Methane_Prescribed_1cm.fds,20,40,supported_2_4,2,uniform=32 supported_2_4=8,0.0005,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Methane_Prescribed_2cm.fds,20,40,supported_2_4,2,uniform=32 supported_2_4=8,0.001,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Methanol_1m_pan_1cm_grid.fds,108,265,direction_dependent,4,uniform=241 direction_dependent=24,0.0005,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Methanol_1m_pan_1cm_grid_predicted.fds,108,265,direction_dependent,4,uniform=241 direction_dependent=24,0.0005,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Methanol_1m_pan_2cm_grid.fds,24,43,supported_2_4,2,uniform=37 supported_2_4=6,0.001,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Methanol_1m_pan_2cm_grid_predicted.fds,24,43,supported_2_4,2,uniform=37 supported_2_4=6,0.001,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Methanol_1m_pan_4cm_grid.fds,10,13,uniform,1,uniform=13,0.001,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Methanol_1m_pan_4cm_grid_predicted.fds,10,13,uniform,1,uniform=13,0.001,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Methanol_Prescribed_0p5cm.fds,32,57,uniform,1,uniform=57,0.00025,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Methanol_Prescribed_1cm.fds,16,26,uniform,1,uniform=26,0.0005,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Methanol_Prescribed_2cm.fds,16,26,uniform,1,uniform=26,0.001,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Propane_20kW_Prescribed_0p5cm.fds,40,86,supported_2_4,2,uniform=70 supported_2_4=16,0.00025,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Propane_20kW_Prescribed_1cm.fds,20,40,supported_2_4,2,uniform=32 supported_2_4=8,0.0005,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Propane_20kW_Prescribed_2cm.fds,20,40,supported_2_4,2,uniform=32 supported_2_4=8,0.001,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Propane_34kW_Prescribed_0p5cm.fds,40,86,supported_2_4,2,uniform=70 supported_2_4=16,0.00025,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Propane_34kW_Prescribed_1cm.fds,20,40,supported_2_4,2,uniform=32 supported_2_4=8,0.0005,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Propane_34kW_Prescribed_2cm.fds,20,40,supported_2_4,2,uniform=32 supported_2_4=8,0.001,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Propane_50kW_Prescribed_0p5cm.fds,40,86,supported_2_4,2,uniform=70 supported_2_4=16,0.00025,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Propane_50kW_Prescribed_1cm.fds,20,40,supported_2_4,2,uniform=32 supported_2_4=8,0.0005,0,
Validation/NIST_Pool_Fires/FDS_Input_Files/NIST_Propane_50kW_Prescribed_2cm.fds,20,40,supported_2_4,2,uniform=32 supported_2_4=8,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_100_RI=10.fds,4,4,uniform,1,uniform=4,0.001,0,
