module,variable,decl_file,decl_line,kind,written_by,read_by_sample,blocks_pure_kernel,notes,fortran_type,dims,n_writers,n_runtime_writers,n_kernel_users,mesh_id_indexed
GLOBAL_CONSTANTS,REAC_SOURCE_CHECK,cons.f90,475,runtime_scalar,READ_DEVC(read.f90:14427); READ_SLCF(read.f90:16311),COMBUSTION_GENERAL_LOAD_BALANCED(fire.f90:139); COMBUSTION_MODEL(fire.f90:1037); SET_SPECIES_SOURCE_TERM_CELL(fire.f90:478); SET_SPECIES_SOURCE_TERM_CUTCELL(fire.f90:526); INITIALIZE_MESH_VARIABLES_1(init.f90:593),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,2,0,7,
GLOBAL_CONSTANTS,READ_EXTERNAL,cons.f90,825,runtime_scalar,READ_CTRL(read.f90:14797); READ_RAMP(read.f90:10463),FDS(main.f90:197); MPI_INITIALIZATION_CHORES(main.f90:1287); FDS[MAIN_LOOP](main.f90:753),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,2,0,3,
GLOBAL_CONSTANTS,REAL_LIST,cons.f90,627,runtime_scalar,,DUMP_HRR(dump.f90:11855); DUMP_PROF(dump.f90:11485),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",CHARACTER(25),,0,0,2,
GLOBAL_CONSTANTS,RELAXATION_FACTOR,cons.f90,426,runtime_scalar,,CC_NO_FLUX(ccib.f90:15452); READ_PRES(read.f90:10068); NO_FLUX(velo.f90:1366),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",REAL(EB),,0,0,3,
GLOBAL_CONSTANTS,RENDER_FILE,cons.f90,309,runtime_scalar,READ_DUMP(read.f90:2372),WRITE_SMOKEVIEW_FILE(dump.f90:1938),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",CHARACTER(FORMULA_LENGTH),,1,0,1,
GLOBAL_CONSTANTS,RESTART,cons.f90,198,runtime_scalar,,INIT_CUTCELL_DATA(ccib.f90:7781); ASSIGN_FILE_NAMES(dump.f90:474); FDS(main.f90:450),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",LOGICAL,,0,0,3,
GLOBAL_CONSTANTS,RESTART_CHID,cons.f90,314,runtime_scalar,READ_MISC(read.f90:1780),ASSIGN_FILE_NAMES(dump.f90:559),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",CHARACTER(CHID_LENGTH),,1,0,1,
GLOBAL_CONSTANTS,RESTRICT_TIME_STEP,cons.f90,212,runtime_scalar,,CHECK_STABILITY(velo.f90:3189),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",LOGICAL,,0,0,1,
GLOBAL_CONSTANTS,RESULTS_DIR,cons.f90,315,runtime_scalar,READ_DUMP(read.f90:2373),ASSIGN_FILE_NAMES(dump.f90:464); DUMP_SLCF(dump.f90:6835); CC_GRID_GLOBAL_INIT(geom.f90:15267); GET_CELL_LINK_INFO(geom.f90:6322),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",CHARACTER(FILE_LENGTH),,1,0,4,
GLOBAL_CONSTANTS,REVISION,cons.f90,325,runtime_scalar,FDS(main.f90:134),WRITE_SMOKEVIEW_FILE(dump.f90:1882),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",CHARACTER(FORMULA_LENGTH),,1,0,2,
GLOBAL_CONSTANTS,REVISION_DATE,cons.f90,326,runtime_scalar,FDS(main.f90:134),,no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",CHARACTER(FORMULA_LENGTH),,1,0,1,
GLOBAL_CONSTANTS,RHOA,cons.f90,336,runtime_scalar,READ_SPEC(read.f90:3547),CFACE_PREDICT_NORMAL_VELOCITY(ccib.f90:6040); PREDICT_NORMAL_VELOCITY(divg.f90:1378); SOLID_PHASE_OUTPUT(dump.f90:10273); INITIALIZE_BOUNDARY_PROP1(func.f90:4936); INIT_CFACE_CELL(geom.f90:6708),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",REAL(EB),,1,0,11,
GLOBAL_CONSTANTS,RHOMAX,cons.f90,705,runtime_scalar,READ_CLIP(read.f90:10404),CC_CHECK_MASS_DENSITY(ccib.f90:12588); GET_RHOZZ_CC_3D(ccib.f90:13210); INITIALIZE_DIAGNOSTIC_FILE(dump.f90:3730); CHECK_MASS_DENSITY(mass.f90:809); CHECK_STABILITY(velo.f90:3159),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",REAL(EB),,1,0,5,
GLOBAL_CONSTANTS,RHOMIN,cons.f90,704,runtime_scalar,READ_CLIP(read.f90:10403),CC_CHECK_MASS_DENSITY(ccib.f90:12588); GET_RHOZZ_CC_3D(ccib.f90:13210); INITIALIZE_DIAGNOSTIC_FILE(dump.f90:3729); CHECK_MASS_DENSITY(mass.f90:809); CHECK_STABILITY(velo.f90:3158),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",REAL(EB),,1,0,5,
